tpep_pickup_date;tpep_pickup_hour;region;count
2015-06-19;1;1230;537
2015-06-19;2;1230;302
2015-06-19;3;1230;193
2015-06-19;4;1230;154
2015-06-19;5;1230;204
2015-06-19;6;1230;355
2015-06-19;7;1230;507
2015-06-19;8;1230;818
2015-06-19;9;1230;929
2015-06-19;10;1230;1057
2015-06-19;11;1230;1009
2015-06-19;12;1230;1047
2015-06-19;13;1230;916
2015-06-19;14;1230;912
2015-06-19;15;1230;854
2015-06-19;16;1230;671
2015-06-19;17;1230;748
2015-06-19;18;1230;1014
2015-06-19;19;1230;1277
2015-06-19;20;1230;1082
2015-06-19;21;1230;1193
2015-06-19;22;1230;1102
2015-06-19;23;1230;964
2015-06-20;0;1230;1032
2015-06-20;1;1230;833
2015-06-20;2;1230;551
2015-06-20;3;1230;413
2015-06-20;4;1230;324
2015-06-20;5;1230;158
2015-06-20;6;1230;203
2015-06-20;7;1230;178
2015-06-20;8;1230;294
2015-06-20;9;1230;454
2015-06-20;10;1230;711
2015-06-20;11;1230;852
2015-06-20;12;1230;876
2015-06-20;13;1230;845
2015-06-20;14;1230;871
2015-06-20;15;1230;867
2015-06-20;16;1230;704
2015-06-20;17;1230;793
2015-06-20;18;1230;917
2015-06-20;19;1230;1041
2015-06-20;20;1230;793
2015-06-20;21;1230;825
2015-06-20;22;1230;941
2015-06-20;23;1230;1051
2015-06-21;0;1230;795
2015-06-21;1;1230;767
2015-06-21;2;1230;529
2015-06-21;3;1230;398
2015-06-21;4;1230;299
2015-06-21;5;1230;128
2015-06-21;6;1230;117
2015-06-21;7;1230;186
2015-06-21;8;1230;256
2015-06-21;9;1230;378
2015-06-21;10;1230;569
2015-06-21;11;1230;725
2015-06-21;12;1230;784
2015-06-21;13;1230;807
2015-06-21;14;1230;825
2015-06-21;15;1230;706
2015-06-21;16;1230;732
2015-06-21;17;1230;861
2015-06-21;18;1230;898
2015-06-21;19;1230;758
2015-06-21;20;1230;744
2015-06-21;21;1230;1027
2015-06-21;22;1230;874
2015-06-21;23;1230;704
2015-06-22;0;1230;337
2015-06-22;1;1230;195
2015-06-22;2;1230;96
2015-06-22;3;1230;71
2015-06-22;4;1230;72
2015-06-22;5;1230;140
2015-06-22;6;1230;308
2015-06-22;7;1230;553
2015-06-22;8;1230;804
2015-06-22;9;1230;917
2015-06-22;10;1230;918
2015-06-22;11;1230;1019
2015-06-22;12;1230;1034
2015-06-22;13;1230;1026
2015-06-22;14;1230;1098
2015-06-22;15;1230;943
2015-06-22;16;1230;887
2015-06-22;17;1230;1038
2015-06-22;18;1230;1201
2015-06-22;19;1230;1303
2015-06-22;20;1230;1069
2015-06-22;21;1230;1160
2015-06-22;22;1230;1131
2015-06-22;23;1230;1049
2015-06-23;0;1230;511
2015-06-23;1;1230;268
2015-06-23;2;1230;156
2015-06-23;3;1230;99
2015-06-23;4;1230;100
2015-06-23;5;1230;140
2015-06-23;6;1230;327
2015-06-23;7;1230;652
2015-06-23;8;1230;941
2015-06-23;9;1230;1161
2015-06-23;10;1230;1098
2015-06-23;11;1230;1160
2015-06-23;12;1230;1133
2015-06-23;13;1230;1183
2015-06-23;14;1230;1133
2015-06-23;15;1230;955
2015-06-23;16;1230;757
2015-06-23;17;1230;789
2015-06-23;18;1230;873
2015-06-23;19;1230;846
2015-06-23;20;1230;952
2015-06-23;21;1230;1203
2015-06-23;22;1230;1045
2015-06-23;23;1230;883
2015-06-24;0;1230;514
2015-06-24;1;1230;308
2015-06-24;2;1230;137
2015-06-24;3;1230;102
2015-06-24;4;1230;107
2015-06-24;5;1230;161
2015-06-24;6;1230;343
2015-06-24;7;1230;658
2015-06-24;8;1230;912
2015-06-24;9;1230;978
2015-06-24;10;1230;1014
2015-06-24;11;1230;1131
2015-06-24;12;1230;1137
2015-06-24;13;1230;1090
2015-06-24;14;1230;1072
2015-06-24;15;1230;944
2015-06-24;16;1230;709
2015-06-24;17;1230;689
2015-06-24;18;1230;902
2015-06-24;19;1230;952
2015-06-24;20;1230;837
2015-06-24;21;1230;1060
2015-06-24;22;1230;876
2015-06-24;23;1230;911
2015-06-25;0;1230;779
2015-06-25;1;1230;455
2015-06-25;2;1230;236
2015-06-25;3;1230;141
